Crop,Crop_Stage,Sowing_Date,Disease
Chickpea,Reproductive Stages of Chickpea,2024-11-25,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-28,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-25,Dry Root Rot
Chickpea,Harvest Stage,2024-11-29,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-24,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-06,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-26,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-14,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-01,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-27,Rust
Chickpea,Vegetative Growth,2024-11-01,Collar Rot
Chickpea,Germination and Emergence,2024-11-11,Collar Rot
Chickpea,Vegetative Growth,2024-11-14,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-09,Rust
Chickpea,Reproductive Stages of Chickpea,2024-10-20,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-23,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-23,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-06,Rust
Chickpea,Vegetative Growth,2024-10-14,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-05,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-20,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-12,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-16,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-10,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-01,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-19,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-27,Dry Root Rot
Chickpea,Harvest Stage,2024-11-02,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-16,Collar Rot
Chickpea,Vegetative Growth,2024-10-07,Collar Rot
Chickpea,Vegetative Growth,2024-11-29,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-13,Rust
Chickpea,Germination and Emergence,2024-10-14,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-29,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-24,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-26,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-12,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-08,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-19,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-20,Collar Rot
Chickpea,Germination and Emergence,2024-11-03,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-25,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-04,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-07,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-16,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-14,Collar Rot
Chickpea,Harvest Stage,2024-10-06,Collar Rot
Chickpea,Germination and Emergence,2024-10-17,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-13,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-05,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-19,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-04,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-16,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-09,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-13,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-09,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-28,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-05,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-23,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-10,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-10,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-13,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-10,Collar Rot
Chickpea,Vegetative Growth,2024-10-14,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-22,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-29,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-20,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-24,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-06,Rust
Chickpea,Germination and Emergence,2024-10-26,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-07,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-21,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-02,Collar Rot
Chickpea,Harvest Stage,2024-10-05,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-02,Collar Rot
Chickpea,Vegetative Growth,2024-10-13,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-28,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-10,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-22,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-13,Rust
Chickpea,Vegetative Growth,2024-11-13,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-01,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-19,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-09,Rust
Chickpea,Harvest Stage,2024-10-07,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-18,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-11,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-11,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-08,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-08,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-22,Dry Root Rot
Chickpea,Harvest Stage,2024-10-09,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-06,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-25,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-10,Collar Rot
Chickpea,Vegetative Growth,2024-10-12,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-30,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-10,Rust
Chickpea,Germination and Emergence,2024-10-22,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-14,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-12,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-29,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-30,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-12,Collar Rot
Chickpea,Vegetative Growth,2024-10-31,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-21,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-03,Collar Rot
Chickpea,Harvest Stage,2024-10-05,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-13,Rust
Chickpea,Reproductive Stages of Chickpea,2024-10-02,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-18,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-10,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-09,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-01,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-02,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-27,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-01,Collar Rot
Chickpea,Harvest Stage,2024-11-28,Collar Rot
Chickpea,Vegetative Growth,2024-11-22,Rust
Chickpea,Vegetative Growth,2024-11-11,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-28,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-21,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-11,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-03,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Rust
Chickpea,Vegetative Growth,2024-11-04,Rust
Chickpea,Vegetative Growth,2024-10-09,Collar Rot
Chickpea,Germination and Emergence,2024-10-12,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-14,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-27,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-03,Collar Rot
Chickpea,Harvest Stage,2024-11-13,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-02,Rust
Chickpea,Reproductive Stages of Chickpea,2024-10-01,Collar Rot
Chickpea,Harvest Stage,2024-10-03,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-24,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-10,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-06,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-21,Collar Rot
Chickpea,Vegetative Growth,2024-10-12,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-21,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-14,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-10,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-03,Rust
Chickpea,Vegetative Growth,2024-11-29,Rust
Chickpea,Germination and Emergence,2024-10-03,Collar Rot
Chickpea,Germination and Emergence,2024-10-14,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-13,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-29,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-06,Collar Rot
Chickpea,Germination and Emergence,2024-10-04,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-06,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-25,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-27,Collar Rot
Chickpea,Harvest Stage,2024-10-16,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-10,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-30,Collar Rot
Chickpea,Germination and Emergence,2024-10-26,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-20,Rust
Chickpea,Harvest Stage,2024-10-14,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-14,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-06,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-07,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-28,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-09,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-29,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-25,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-12,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-14,Collar Rot
Chickpea,Vegetative Growth,2024-10-08,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-06,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-07,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-26,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-20,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-14,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-12,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-13,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-02,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-22,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-28,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-09,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-06,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-14,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-11,Collar Rot
Chickpea,Germination and Emergence,2024-11-14,Rust
Chickpea,Vegetative Growth,2024-10-01,Dry Root Rot
Chickpea,Harvest Stage,2024-11-18,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-23,Collar Rot
Chickpea,Vegetative Growth,2024-11-20,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-16,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-21,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-08,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-27,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-10,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-14,Collar Rot
Chickpea,Harvest Stage,2024-10-20,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-28,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-24,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-24,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-13,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-20,Rust
Chickpea,Germination and Emergence,2024-10-20,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-14,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-26,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-21,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-04,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-22,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-27,Rust
Chickpea,Reproductive Stages of Chickpea,2024-10-18,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-12,Rust
Chickpea,Germination and Emergence,2024-11-22,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-02,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-29,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-25,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-21,Rust
Chickpea,Harvest Stage,2024-11-06,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-03,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-06,Dry Root Rot
Chickpea,Harvest Stage,2024-10-28,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-13,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-16,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-01,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-02,Collar Rot
Chickpea,Harvest Stage,2024-11-25,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-18,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-07,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-30,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-21,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-08,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-31,Rust
Chickpea,Germination and Emergence,2024-11-25,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-08,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-14,Rust
Chickpea,Vegetative Growth,2024-11-07,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-05,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-01,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-31,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-09,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-28,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-27,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-19,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-17,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-03,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-14,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-02,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-11,Rust
Chickpea,Harvest Stage,2024-10-11,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-29,Rust
Chickpea,Vegetative Growth,2024-10-22,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-11,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-17,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-21,Rust
Chickpea,Germination and Emergence,2024-10-05,Collar Rot
Chickpea,Harvest Stage,2024-10-07,Rust
Chickpea,Germination and Emergence,2024-10-04,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-20,Rust
Chickpea,Harvest Stage,2024-10-06,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-22,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-09,Rust
Chickpea,Harvest Stage,2024-10-29,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-27,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-04,Rust
Chickpea,Harvest Stage,2024-11-22,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-21,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-24,Collar Rot
Chickpea,Harvest Stage,2024-11-17,Collar Rot
Chickpea,Vegetative Growth,2024-10-09,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-09,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-27,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-02,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-24,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-17,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-26,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-26,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-06,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-17,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-04,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-03,Dry Root Rot
Chickpea,Harvest Stage,2024-11-07,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-19,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-26,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-09,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-09,Rust
Chickpea,Vegetative Growth,2024-11-18,Collar Rot
Chickpea,Vegetative Growth,2024-11-27,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-22,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-01,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-12,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-11,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-11,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-25,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-15,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-24,Collar Rot
Chickpea,Harvest Stage,2024-11-19,Dry Root Rot
Chickpea,Harvest Stage,2024-11-01,Rust
Chickpea,Harvest Stage,2024-10-06,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-29,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-23,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-24,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-01,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-12,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-26,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-05,Collar Rot
Chickpea,Harvest Stage,2024-10-01,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-05,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-25,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-09,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-20,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-05,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-23,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-09,Rust
Chickpea,Vegetative Growth,2024-11-14,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-26,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-17,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-11,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-01,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-28,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-08,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-27,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-09,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-06,Collar Rot
Chickpea,Vegetative Growth,2024-10-03,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-22,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-07,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-05,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-13,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-22,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-28,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-28,Rust
Chickpea,Vegetative Growth,2024-10-24,Rust
Chickpea,Germination and Emergence,2024-10-09,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-13,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-06,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-18,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-23,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-21,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-20,Collar Rot
Chickpea,Germination and Emergence,2024-11-23,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-07,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-13,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-05,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-22,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-09,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-19,Rust
Chickpea,Harvest Stage,2024-10-31,Collar Rot
Chickpea,Vegetative Growth,2024-10-05,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-26,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-19,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-12,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-14,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-31,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-08,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-11,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-25,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-28,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-09,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-07,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-09,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-15,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-27,Collar Rot
Chickpea,Harvest Stage,2024-10-16,Dry Root Rot
Chickpea,Harvest Stage,2024-10-06,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-09,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-06,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-27,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-24,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-18,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-04,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-21,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-31,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-27,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-22,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-02,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-24,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-12,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-02,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-16,Rust
Chickpea,Vegetative Growth,2024-11-18,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-02,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-28,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-21,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-28,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-28,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-17,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-04,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-02,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-25,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-10,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-14,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-01,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-09,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-04,Rust
Chickpea,Vegetative Growth,2024-10-09,Collar Rot
Chickpea,Vegetative Growth,2024-10-05,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-12,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-02,Rust
Chickpea,Germination and Emergence,2024-10-06,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-16,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-17,Rust
Chickpea,Harvest Stage,2024-10-30,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-17,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-27,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-01,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-17,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-03,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-04,Collar Rot
Chickpea,Harvest Stage,2024-10-04,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-08,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-11-07,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-25,Rust
Chickpea,Vegetative Growth,2024-11-12,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-06,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-23,Botrytis Gray Mold
